date,total_energy
2019-05-23,4728.276213985
2019-05-24,3576.649736669
2019-05-25,1930.245475178
2019-05-26,1479.136308856
2019-05-27,2206.950624964
2019-05-28,3637.616702501
2019-05-29,4807.971361479
2019-05-30,3308.678316517
2019-05-31,4599.604161034
2019-06-01,3148.137840113
2019-06-02,2525.962231288
2019-06-03,3769.120142834
2019-06-04,5551.788329618
2019-06-05,7023.772536561
2019-06-06,4924.19028421
2019-06-07,5155.442759391
2019-06-08,5225.8202725129995
2019-06-09,7292.444516223
2019-06-10,10015.76208079
2019-06-11,10961.848361608
2019-06-12,9816.778620394
2019-06-13,5405.868438232
2019-06-14,3731.925555552
2019-06-15,1967.452368263
2019-06-16,2465.790537738
2019-06-17,4454.025361178
2019-06-18,5146.009844869
2019-06-19,5104.63507997
2019-06-20,6390.101657563
2019-06-21,4961.403082591
2019-06-22,5301.582498134
2019-06-23,5977.184859526
2019-06-24,6087.792516486
2019-06-25,6061.340135967
2019-06-26,4720.260111304
2019-06-27,4917.75742964
2019-06-28,5238.045067984
2019-06-29,4653.087743295
2019-06-30,4314.855113156
2019-07-01,4918.054816508
2019-07-02,5570.778723064
2019-07-03,5622.981745031
2019-07-04,4093.188146048
2019-07-05,4804.24487417
2019-07-06,4445.541597273
2019-07-07,2910.564601235
2019-07-08,2637.45386505
2019-07-09,4521.591545991
2019-07-10,5262.448610005
2019-07-11,5997.366965238
2019-07-12,6116.385903888
2019-07-13,4800.936888382
2019-07-14,4458.301838847
2019-07-15,7166.554207245
2019-07-16,6562.202774415
2019-07-17,6234.298525647
2019-07-18,5409.8929785889995
2019-07-19,4642.055318462
2019-07-20,3081.524892494
2019-07-21,4007.503832255
2019-07-22,95.8417647
2019-07-24,6256.558820414
2019-07-25,7297.036829056
2019-07-26,5493.618568418
2019-07-27,2447.069084396
2019-07-28,3163.75938224
2019-07-29,4098.686322686
2019-07-30,3989.954302477
2019-07-31,5132.055894964
2019-08-01,4602.185329866
2019-08-02,5324.198971716
2019-08-03,5285.889496187
2019-08-04,4544.627031649
2019-08-05,5531.661039484
2019-08-06,5476.722690988
2019-08-07,5171.705359282
2019-08-08,5217.241781044
2019-08-09,6627.158284655
2019-08-10,5566.982094481
2019-08-11,5580.925651408
2019-08-12,7930.070767511
2019-08-13,8279.395139132
2019-08-14,10420.543849999
2019-08-15,11204.275651551
2019-08-16,9707.801040504
2019-08-17,4755.52338661
2019-08-18,4977.324799202
2019-08-19,5028.962748094
2019-08-20,5894.749636097
2019-08-21,7625.995530313
2019-08-22,8510.328680009
2019-08-23,0.0
2019-08-24,0.0
2019-08-25,0.0
2019-08-26,0.0
2019-08-27,0.0
2019-08-28,0.0
2019-08-29,0.0
2019-08-30,0.0
2019-08-31,0.0
2019-09-01,7493.354823213
2019-09-02,6689.174940746
2019-09-03,6592.458913317
2019-09-04,7154.253739658
2019-09-05,6237.385637647
2019-09-06,6098.67862587
2019-09-07,3376.456437604
2019-09-08,4965.858139006
2019-09-09,4875.46171348
2019-09-10,6808.127001234
2019-09-11,7447.144178763
2019-09-12,9461.439903738
2019-09-13,10643.420003235
2019-09-14,8671.072056092
2019-09-15,4934.826504862
2019-09-16,6077.933870771
2019-09-17,6907.946112168
2019-09-18,6706.549644519
2019-09-19,6400.224526485
2019-09-20,7101.246472588
2019-09-21,6821.736270798
2019-09-22,6015.6643463870005
2019-09-23,7298.965570633
2019-09-24,9254.231577532
2019-09-25,8826.271030239
2019-09-26,8001.572190576
2019-09-27,4684.831035018
2019-09-28,2826.390891875
2019-09-29,1227.060018645
2019-09-30,2398.905400154
2019-10-01,2507.008328271
2019-10-02,3147.61537917
2019-10-09,1110.903001394
2019-10-10,453.979441835
2019-10-11,1094.388590197
2019-10-12,3054.766643216
2019-10-13,1434.696008314
2019-10-14,2114.920148642
2019-10-15,2857.529885986
2019-10-16,2671.300063509
2019-10-17,2695.045316012
2019-10-18,2373.785222565
2019-10-19,1245.80977092
2019-10-20,1750.507142847
2019-10-21,3885.191413833
2019-10-22,8388.814545074
2019-10-23,8854.303883945
2019-10-24,6831.744809865
2019-10-25,10361.819416676
2019-10-26,7247.410512485
2019-10-27,618.890033025
2019-10-29,1077.597843157
2019-10-30,2062.323245248
2019-10-31,2724.773694657
2019-11-01,3210.821521434
2019-11-02,2713.397369841
2019-11-03,3440.03507269
2019-11-04,3714.129777046
2019-11-05,3085.0199199510002
2019-11-06,2439.196615972
2019-11-07,3123.992657748
2019-11-08,6116.904404631
2019-11-09,3357.091382577
2019-11-10,1584.705740409
2019-11-11,3724.174445742
2019-11-12,6075.28829659
2019-11-13,3733.861930092
2019-11-14,2307.786476926
2019-11-15,2587.143805481
2019-11-16,2385.370596939
2019-11-17,2620.011459424
2019-11-18,4474.274472762
2019-11-19,2480.747548886
2019-11-20,2172.763389731
2019-11-21,5066.434665911
2019-11-22,6373.56158801
2019-11-23,4415.350425232
2019-11-24,4968.657072325
2019-11-25,5821.591313683
2019-11-26,4732.808863223
2019-11-27,2278.68043619
2019-11-28,2684.411721625
2019-11-29,3907.378585734
2019-11-30,2238.674966822
2019-12-01,1566.54482007
2019-12-02,3694.989798984
2019-12-03,4718.436985746
2019-12-04,4720.176529855
2019-12-05,6399.8790908890005
2019-12-06,5442.505279354
2019-12-07,1258.169451294
2019-12-08,272.653338974
2019-12-09,5775.66027024
2019-12-10,5755.048324858
2019-12-11,6279.139366282
2019-12-12,5962.137839668
2019-12-13,5905.68309107
2019-12-14,3073.989031238
2019-12-15,3472.043489103
2019-12-16,4887.806887462
2019-12-17,4479.28184668
2019-12-18,3282.689416754
2019-12-19,5557.987849841
2019-12-20,5898.814944036
2019-12-21,3541.86275187
2019-12-22,2549.625702628
2019-12-23,4839.899776954
2019-12-24,4258.403738613
2019-12-25,3540.087291778
2019-12-26,3048.997229766
2019-12-27,4481.256273219
2019-12-28,3724.702660533
2019-12-29,4128.747569989
2019-12-30,3021.917579539
2019-12-31,4955.156563706
2020-01-01,3478.800694355
2020-01-02,4016.447225887
2020-01-03,4276.1931971779995
2020-01-04,2542.208590201
